Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
Jane Njoroge,jane.njoroge65@@gmail.com,254729573629,Female,Elgeyo Marakwet,1,Bedsitter,13kg,Morning,Charcoal,76,Regular Users
Robert Muriuki,robert.muriuki85gmail.com,254725330120,Male,Trans Nzoia,1,Business,13kg,Morning,Charcoal,71,Regular Users
Esther Cheruiyot,"esther.cheruiyot93@gmail.com,",254772372633,Male,Makueni,7,Apartment,13kg,Afternoon,Charcoal,84,Regular Users
Robert Kuria,robert.kuria29@gmail,254785669043,Male,Tharaka Nithi,7,Business,6kg,Morning,Charcoal,77,Regular Users
Mercy Onyango,mercy.onyango24@@gmail.com,254784132713,Male,Kajiado,8,Bedsitter,13kg,Morning,Charcoal,123,At-Risk
Lilian Cheruiyot,lilian.cheruiyot25@@gmail.com,254761043137,Female,Nairobi,2,Apartment,50kg,Afternoon,Firewood,45,Heavy Users
John Achieng,john.achieng73@gmail,254788145762,Female,Bomet,4,Apartment,6kg,Afternoon,None,131,At-Risk
Jane Kimani,jane.kimani55@@gmail.com,254767343458,Male,Kakamega,9,Apartment,13kg,Afternoon,Kerosene,131,At-Risk
Ruth Mwangi,ruth.mwangi27@@gmail.com,254710589490,Female,Migori,6,Bedsitter,50kg,Afternoon,None,80,Regular Users
Peter Onyango,peter.onyango88@gmail,254713159137,Female,Tharaka Nithi,4,Apartment,13kg,Evening,Electricity,141,At-Risk
Grace Cheruiyot,"grace.cheruiyot66@gmail.com,",254710984053,Female,Isiolo,10,House,13kg,Morning,None,113,Low Users
Daniel Cheruiyot,daniel.cheruiyot14gmail.com,254713300052,Male,Mandera,6,Bedsitter,6kg,Evening,None,117,Low Users
John Kuria,"john.kuria77@gmail.com,",254763275768,Female,Nyeri,3,Bedsitter,13kg,Evening,Electricity,62,Regular Users
Lilian Kimani,"lilian.kimani36@gmail.com,",254707193166,Male,Trans Nzoia,7,House,6kg,Morning,Charcoal,66,Regular Users
Esther Achieng,esther.achieng1gmail.com,254732089763,Male,Muranga,4,Business,Other,Morning,Electricity,93,Low Users
David Achieng,david.achieng52@gmail,254779048590,Female,Kiambu,1,House,Other,Morning,Kerosene,77,Regular Users
John Mwangi,"john.mwangi33@gmail.com,",254798596750,Female,Makueni,4,Bedsitter,13kg,Morning,Electricity,95,Low Users
Lilian Muriuki,"lilian.muriuki73@gmail.com,",254792879476,Male,Narok,8,House,13kg,Morning,Kerosene,96,Low Users
Lilian Karanja,lilian.karanja64@@gmail.com,254706012270,Female,Samburu,10,Bedsitter,13kg,Afternoon,Electricity,98,Low Users
Faith Maina,"faith.maina88@gmail.com,",254737152887,Female,Nairobi,2,Apartment,13kg,Afternoon,Charcoal,82,Regular Users
Daniel Kimani,daniel.kimani68gmail.com,254759627373,Female,Migori,10,Business,Other,Morning,Charcoal,89,Regular Users
Susan Kiptoo,susan.kiptoo50@@gmail.com,254727234919,Female,Tana River,10,House,Other,Evening,Electricity,53,Regular Users
David Kiptoo,david.kiptoo21gmail.com,254780707533,Female,Kitui,2,Bedsitter,13kg,Morning,Electricity,36,Heavy Users
David Kimani,david.kimani69gmail.com,254761566316,Female,Wajir,10,Bedsitter,6kg,Afternoon,Firewood,43,Heavy Users
Michael Achieng,michael.achieng26@@gmail.com,254731728548,Female,Kakamega,7,Bedsitter,13kg,Afternoon,Charcoal,31,Heavy Users
Agnes Onyango,"agnes.onyango22@gmail.com,",254728486161,Female,Marsabit,10,House,50kg,Evening,Firewood,79,Regular Users
Joseph Karanja,joseph.karanja91gmail.com,254758573615,Male,Vihiga,5,House,13kg,Morning,Firewood,34,Heavy Users
Robert Achieng,robert.achieng33@gmail,254784241894,Female,Siaya,4,Bedsitter,6kg,Morning,Firewood,144,At-Risk
Joseph Mutua,joseph.mutua99@@gmail.com,254791550635,Male,Meru,4,House,6kg,Evening,Firewood,120,Low Users
David Maina,david.maina64@gmail,254789173263,Male,Wajir,7,Business,13kg,Morning,None,106,Low Users
Joseph Otieno,joseph.otieno18@@gmail.com,254764165760,Female,Kwale,9,Business,13kg,Afternoon,Charcoal,62,Regular Users
Joseph Mugo,"joseph.mugo85@gmail.com,",254795515413,Male,Nyeri,9,Bedsitter,6kg,Evening,Firewood,129,At-Risk
Ruth Achieng,"ruth.achieng50@gmail.com,",254741661411,Female,Mandera,3,Apartment,13kg,Morning,Charcoal,100,Low Users
Joseph Kibet,"joseph.kibet81@gmail.com,",254733503792,Male,Busia,10,Apartment,50kg,Afternoon,Charcoal,45,Heavy Users
Agnes Onyango,agnes.onyango31@gmail,254731984567,Female,Kwale,10,Apartment,6kg,Afternoon,Kerosene,68,Regular Users
James Kuria,james.kuria6gmail.com,254752268471,Male,Kisumu,3,House,13kg,Evening,None,141,At-Risk
Daniel Mugo,daniel.mugo17@@gmail.com,254763551733,Female,Bungoma,4,Bedsitter,13kg,Evening,Firewood,36,Heavy Users
John Omondi,john.omondi10gmail.com,254753733760,Female,Nairobi,2,Bedsitter,Other,Afternoon,Charcoal,112,Low Users
Ruth Otieno,ruth.otieno83@@gmail.com,254779131392,Male,Baringo,4,Bedsitter,13kg,Evening,Electricity,97,Low Users
Daniel Muriuki,daniel.muriuki36@gmail,254759292784,Male,Samburu,10,Business,13kg,Afternoon,Charcoal,137,At-Risk
Joseph Njoroge,joseph.njoroge59@gmail,254736548533,Female,Bomet,10,Bedsitter,13kg,Afternoon,Charcoal,141,At-Risk
Daniel Mugo,"daniel.mugo58@gmail.com,",254785905381,Female,Busia,9,Business,50kg,Morning,Electricity,102,Low Users
Mark Kibet,mark.kibet58gmail.com,254741960366,Male,Vihiga,2,Business,6kg,Afternoon,Charcoal,64,Regular Users
Grace Mugo,grace.mugo23gmail.com,254789269423,Male,Nyandarua,7,Apartment,13kg,Evening,Charcoal,37,Heavy Users
Esther Kuria,"esther.kuria72@gmail.com,",254767030943,Male,Kirinyaga,6,Bedsitter,13kg,Afternoon,Electricity,87,Regular Users
James Muriuki,"james.muriuki5@gmail.com,",254707194346,Female,West Pokot,8,Bedsitter,50kg,Morning,Charcoal,35,Heavy Users
Mary Onyango,mary.onyango20@gmail,254717580812,Female,Turkana,8,Bedsitter,6kg,Evening,Charcoal,106,Low Users
David Onyango,david.onyango25gmail.com,254752670024,Male,Machakos,6,Bedsitter,13kg,Afternoon,Charcoal,122,At-Risk
James Kibet,"james.kibet61@gmail.com,",254724078280,Male,Kitui,6,Business,6kg,Evening,Kerosene,110,Low Users
Esther Onyango,esther.onyango89gmail.com,254706712477,Female,Laikipia,2,Business,13kg,Afternoon,Electricity,136,At-Risk
Lilian Ngugi,lilian.ngugi51gmail.com,254732392058,Female,Elgeyo Marakwet,2,House,13kg,Morning,Firewood,118,Low Users
Esther Njoroge,esther.njoroge17@gmail,254732766252,Female,Bungoma,10,Apartment,13kg,Morning,None,35,Heavy Users
Faith Otieno,faith.otieno50@@gmail.com,254763057013,Male,Kakamega,2,Bedsitter,13kg,Morning,Kerosene,108,Low Users
Daniel Cheruiyot,"daniel.cheruiyot35@gmail.com,",254732802967,Female,Meru,10,Bedsitter,Other,Evening,Charcoal,115,Low Users
Mary Mutua,"mary.mutua21@gmail.com,",254766231061,Female,Kisii,9,Apartment,Other,Morning,Charcoal,107,Low Users
Grace Muriuki,grace.muriuki85@gmail,254759918111,Male,Mandera,10,Business,13kg,Morning,Firewood,112,Low Users
Joseph Kuria,joseph.kuria97@@gmail.com,254772816884,Female,Turkana,9,Bedsitter,13kg,Afternoon,Firewood,93,Low Users
David Kibet,david.kibet63@@gmail.com,254734701885,Female,Kwale,3,Bedsitter,6kg,Morning,Firewood,145,At-Risk
Mary Otieno,mary.otieno82@gmail,254737948546,Male,Migori,9,Bedsitter,6kg,Evening,Firewood,130,At-Risk
Mark Kuria,"mark.kuria45@gmail.com,",254711186343,Male,Samburu,7,Bedsitter,13kg,Afternoon,Charcoal,55,Regular Users
Joseph Mugo,joseph.mugo91@@gmail.com,254706291227,Male,Kakamega,7,Bedsitter,50kg,Evening,Charcoal,94,Low Users
John Mwangi,"john.mwangi18@gmail.com,",254753599864,Male,Isiolo,1,House,6kg,Morning,Charcoal,145,At-Risk
Mark Achieng,mark.achieng13@gmail,254785317530,Male,Migori,7,House,6kg,Evening,None,67,Regular Users
James Kimani,"james.kimani67@gmail.com,",254794309016,Male,Nairobi,1,Bedsitter,6kg,Evening,Charcoal,36,Heavy Users
Susan Mugo,susan.mugo47@@gmail.com,254778183428,Male,Nandi,2,Apartment,13kg,Morning,Charcoal,117,Low Users
David Muriuki,david.muriuki28@@gmail.com,254742415838,Female,Kisii,3,Apartment,13kg,Afternoon,Charcoal,85,Regular Users
Grace Mugo,"grace.mugo26@gmail.com,",254711389747,Male,Uasin Gishu,6,House,6kg,Morning,Firewood,41,Heavy Users
Michael Cheruiyot,"michael.cheruiyot14@gmail.com,",254744561970,Female,Kitui,9,Business,50kg,Evening,Charcoal,129,At-Risk
John Njoroge,"john.njoroge47@gmail.com,",254747746349,Female,Wajir,7,Bedsitter,13kg,Evening,Firewood,116,Low Users
Joseph Mutua,joseph.mutua74gmail.com,254748335458,Male,Nairobi,4,Bedsitter,13kg,Morning,None,49,Regular Users
Michael Kamau,"michael.kamau50@gmail.com,",254719339991,Male,Kajiado,4,Bedsitter,13kg,Evening,Charcoal,57,Regular Users
Faith Otieno,"faith.otieno86@gmail.com,",254763090004,Male,Bomet,1,Apartment,13kg,Afternoon,None,127,At-Risk
Susan Kibet,susan.kibet64@gmail,254745643573,Male,Wajir,5,Business,50kg,Evening,Charcoal,98,Low Users
Agnes Omondi,agnes.omondi69@@gmail.com,254719495201,Male,Kisumu,6,Business,13kg,Morning,Firewood,25,Heavy Users
Susan Omondi,susan.omondi41@@gmail.com,254711649374,Male,Kitui,1,Business,6kg,Afternoon,Charcoal,44,Heavy Users
Jane Kibet,jane.kibet56gmail.com,254779249181,Female,Makueni,9,Business,6kg,Afternoon,Firewood,36,Heavy Users
Peter Cheruiyot,"peter.cheruiyot65@gmail.com,",254724098739,Male,Lamu,8,Bedsitter,50kg,Evening,Electricity,136,At-Risk
Esther Mutua,"esther.mutua19@gmail.com,",254728714430,Female,Nakuru,8,Bedsitter,13kg,Afternoon,Charcoal,74,Regular Users
