Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
Mercy Onyango,mercy.onyango1@gmail.com,254769456153,Male,Nairobi,4,House,13kg,Evening,None,112,Low Users
Agnes Omondi,agnes.omondi83@gmail.com,254755581663,Female,Homa Bay,2,Apartment,Other,Afternoon,Firewood,29,Heavy Users
Mary Cheruiyot,mary.cheruiyot84@gmail.com,254778865125,Female,Muranga,6,House,13kg,Morning,Firewood,95,Low Users
Robert Kibet,robert.kibet35@gmail.com,254795648556,Male,Nakuru,2,Business,50kg,Afternoon,None,113,Low Users
David Kuria,david.kuria24@gmail.com,254732854270,Female,Nyamira,9,Apartment,50kg,Afternoon,Electricity,124,At-Risk
Mary Maina,mary.maina29@gmail.com,254726781870,Female,Mombasa,10,Apartment,Other,Morning,Electricity,20,Heavy Users
Paul Muriuki,paul.muriuki51@gmail.com,254786739023,Female,Garissa,7,Bedsitter,13kg,Morning,Firewood,39,Heavy Users
Agnes Achieng,agnes.achieng97@gmail.com,254789841593,Female,Vihiga,2,House,Other,Evening,None,27,Heavy Users
Mary Kiptoo,mary.kiptoo16@gmail.com,254751289696,Female,Homa Bay,8,Bedsitter,13kg,Evening,Charcoal,20,Heavy Users
Agnes Mutua,agnes.mutua40@gmail.com,254798062985,Female,Baringo,4,Bedsitter,13kg,Evening,None,76,Regular Users
Grace Cheruiyot,grace.cheruiyot23@gmail.com,254704343534,Female,Mombasa,10,House,13kg,Morning,Charcoal,83,Regular Users
Jane Achieng,jane.achieng20@gmail.com,254711816265,Female,Kwale,8,Business,13kg,Morning,Charcoal,137,At-Risk
David Mwangi,david.mwangi30@gmail.com,254782209326,Male,Mandera,4,Bedsitter,13kg,Afternoon,Charcoal,47,Regular Users
Joseph Njoroge,joseph.njoroge58@gmail.com,254731311998,Female,Kilifi,5,Bedsitter,13kg,Afternoon,Kerosene,140,At-Risk
Peter Kiptoo,peter.kiptoo30@gmail.com,254721200442,Female,West Pokot,4,Apartment,13kg,Afternoon,Electricity,126,At-Risk
Joseph Achieng,"joseph.achieng18@gmail.com,",254770202607,Female,Kiambu,10,Business,13kg,Afternoon,Electricity,68,Regular Users
Mercy Maina,mercy.maina73@gmail.com,254760520593,Female,Kisumu,3,Business,13kg,Morning,Charcoal,139,At-Risk
Agnes Mwangi,agnes.mwangi8@gmail.com,254789183125,Female,Kisumu,4,Apartment,13kg,Evening,None,63,Regular Users
Grace Kiptoo,grace.kiptoo4@gmail.com,254737343192,Female,Migori,6,Apartment,Other,Evening,Firewood,75,Regular Users
Agnes Otieno,agnes.otieno4@gmail.com,254741783718,Male,Nyeri,5,House,6kg,Evening,Electricity,130,At-Risk
Lilian Ngugi,lilian.ngugi70@gmail.com,254726760941,Female,Kisii,3,House,13kg,Evening,Firewood,127,At-Risk
Grace Karanja,grace.karanja18@gmail.com,254775960287,Male,Kiambu,10,Bedsitter,13kg,Afternoon,Charcoal,133,At-Risk
David Kuria,david.kuria10@gmail.com,254749243632,Male,Busia,6,Bedsitter,6kg,Evening,Electricity,97,Low Users
Susan Njoroge,susan.njoroge98@gmail.com,254756154677,Female,Meru,1,House,13kg,Afternoon,Electricity,149,At-Risk
Michael Kibet,michael.kibet89@gmail.com,254719992909,Female,Nairobi,10,House,13kg,Evening,Electricity,56,Regular Users
David Karanja,david.karanja31@gmail.com,254769637998,Female,Narok,5,House,6kg,Evening,Electricity,39,Heavy Users
Joseph Achieng,"joseph.achieng59@gmail.com,",254752699746,Male,Mandera,1,Apartment,13kg,Afternoon,None,45,Heavy Users
Joseph Karanja,joseph.karanja52@@gmail.com,254785308878,Male,Laikipia,2,Business,13kg,Evening,None,48,Regular Users
Agnes Kiptoo,agnes.kiptoo96@gmail.com,254765023914,Male,Marsabit,7,Business,13kg,Morning,None,20,Heavy Users
Esther Maina,esther.maina87@gmail.com,254756907992,Male,Mandera,6,Apartment,13kg,Afternoon,Charcoal,138,At-Risk
Mary Ngugi,mary.ngugi45@gmail.com,254795928254,Male,Nairobi,2,House,13kg,Evening,Charcoal,54,Regular Users
David Njoroge,david.njoroge66@gmail.com,254750118116,Male,Machakos,10,House,13kg,Evening,Charcoal,78,Regular Users
Mercy Ngugi,mercy.ngugi56@@gmail.com,254715175860,Female,Turkana,1,Business,13kg,Afternoon,Electricity,88,Regular Users
Mary Ngugi,mary.ngugi60@gmail.com,254772003222,Male,Kisumu,2,Bedsitter,50kg,Morning,Firewood,31,Heavy Users
Daniel Kibet,daniel.kibet19@gmail.com,254777859352,Female,Nyeri,2,Apartment,13kg,Evening,Charcoal,39,Heavy Users
Faith Cheruiyot,faith.cheruiyot48@gmail.com,254738865908,Female,Homa Bay,7,Business,13kg,Evening,Charcoal,62,Regular Users
Esther Mutua,esther.mutua87@gmail.com,254775010198,Female,Uasin Gishu,8,House,Other,Morning,Electricity,145,At-Risk
Mary Mwangi,mary.mwangi69@gmail.com,254733308495,Female,Kericho,4,House,13kg,Morning,Electricity,69,Regular Users
Lilian Kibet,lilian.kibet71@gmail.com,254760045697,Male,Kiambu,5,Bedsitter,13kg,Afternoon,Electricity,48,Regular Users
James Cheruiyot,james.cheruiyot34@gmail.com,254753466498,Female,Tana River,5,Bedsitter,50kg,Morning,Charcoal,58,Regular Users
Joseph Ngugi,joseph.ngugi88@gmail.com,254797140887,Male,Kiambu,6,House,13kg,Evening,Kerosene,57,Regular Users
Paul Omondi,paul.omondi57@gmail.com,254725739962,Female,Kiambu,1,House,13kg,Afternoon,Firewood,103,Low Users
Paul Kiptoo,paul.kiptoo63@gmail.com,254753036210,Male,Baringo,9,Bedsitter,13kg,Evening,Charcoal,147,At-Risk
Faith Otieno,faith.otieno88@gmail.com,254782932155,Male,Makueni,3,House,13kg,Evening,Electricity,145,At-Risk
Mary Mugo,mary.mugo54@gmail.com,254739416160,Male,Nandi,6,Bedsitter,13kg,Afternoon,Electricity,64,Regular Users
John Karanja,john.karanja36@gmail.com,254768396845,Female,Migori,5,Business,Other,Afternoon,Charcoal,71,Regular Users
Joseph Otieno,joseph.otieno70@gmail.com,254790481474,Male,Meru,1,Business,13kg,Afternoon,Charcoal,99,Low Users
James Mutua,james.mutua52@gmail.com,254743370206,Female,Laikipia,8,Bedsitter,13kg,Evening,Charcoal,143,At-Risk
John Ngugi,john.ngugi84@gmail.com,254731513803,Female,Vihiga,2,House,13kg,Afternoon,Electricity,138,At-Risk
James Kimani,james.kimani89@gmail.com,254770770645,Male,Nakuru,2,Bedsitter,13kg,Evening,Kerosene,27,Heavy Users
Daniel Cheruiyot,daniel.cheruiyot49gmail.com,254778520176,Female,Migori,4,Apartment,6kg,Morning,Charcoal,104,Low Users
Mercy Kimani,mercy.kimani86@gmail,254712392704,Female,Homa Bay,3,House,13kg,Morning,Firewood,148,At-Risk
Jane Omondi,jane.omondi86@gmail.com,254763779126,Male,Turkana,8,House,Other,Afternoon,Firewood,27,Heavy Users
Jane Mugo,jane.mugo61@gmail.com,254771040386,Male,Nakuru,10,Bedsitter,6kg,Morning,Firewood,115,Low Users
Agnes Karanja,agnes.karanja82@gmail.com,254742217841,Female,Busia,8,House,6kg,Morning,Charcoal,121,At-Risk
Mark Njoroge,mark.njoroge97@gmail.com,254784790173,Male,Muranga,1,Bedsitter,13kg,Evening,Charcoal,24,Heavy Users
Mark Karanja,mark.karanja56@gmail.com,254770045696,Female,Marsabit,3,Business,6kg,Evening,Charcoal,105,Low Users
David Maina,david.maina53@gmail.com,254748321547,Male,Baringo,1,Apartment,13kg,Afternoon,Electricity,53,Regular Users
Robert Otieno,robert.otieno58@gmail.com,254738542888,Female,Kiambu,7,Apartment,13kg,Morning,None,74,Regular Users
Robert Kamau,robert.kamau19@gmail.com,254754761960,Male,Muranga,8,Bedsitter,13kg,Evening,Charcoal,138,At-Risk
Paul Kimani,paul.kimani45@gmail.com,254723518605,Female,Kajiado,2,House,Other,Morning,Firewood,133,At-Risk
James Kamau,james.kamau80@gmail.com,254790437521,Female,Kisii,6,Bedsitter,50kg,Evening,None,45,Heavy Users
Grace Cheruiyot,grace.cheruiyot62@gmail.com,254744065467,Female,Laikipia,2,Apartment,13kg,Afternoon,Electricity,66,Regular Users
Mary Mutua,mary.mutua12@gmail.com,254705109632,Male,Muranga,3,Business,13kg,Morning,Charcoal,132,At-Risk
Grace Cheruiyot,grace.cheruiyot10@gmail.com,254721828009,Female,Kisumu,6,Apartment,13kg,Morning,Charcoal,95,Low Users
Esther Kimani,esther.kimani95@gmail.com,254754445676,Male,Mombasa,1,Bedsitter,13kg,Morning,Firewood,91,Low Users
Lilian Mwangi,lilian.mwangi89@gmail.com,254788059750,Female,Nyeri,8,Bedsitter,6kg,Morning,Firewood,108,Low Users
Mercy Omondi,mercy.omondi47@gmail.com,254795775008,Female,Kiambu,3,Business,13kg,Evening,Firewood,65,Regular Users
Lilian Kimani,lilian.kimani75@gmail.com,254785196094,Female,Busia,1,Bedsitter,50kg,Evening,Electricity,52,Regular Users
Faith Maina,faith.maina90@gmail.com,254777862520,Male,Nyeri,2,Apartment,Other,Evening,Firewood,20,Heavy Users
Daniel Maina,daniel.maina23@gmail.com,254773545470,Female,Kisii,10,House,6kg,Evening,Electricity,50,Regular Users
Robert Otieno,robert.otieno70@gmail.com,254757492141,Male,Tharaka Nithi,6,Bedsitter,6kg,Afternoon,Charcoal,72,Regular Users
Paul Kuria,paul.kuria93@gmail.com,254756146993,Female,Kericho,5,Apartment,50kg,Afternoon,Electricity,67,Regular Users
Paul Ngugi,paul.ngugi70@gmail.com,254717369781,Male,Nandi,5,Apartment,6kg,Evening,Firewood,88,Regular Users
Grace Otieno,grace.otieno28@gmail.com,254781436971,Male,Garissa,2,Business,50kg,Evening,Charcoal,124,At-Risk
Ruth Onyango,ruth.onyango67@gmail.com,254792547265,Female,Isiolo,5,House,13kg,Morning,Charcoal,109,Low Users
James Onyango,james.onyango96@gmail.com,254710733289,Female,West Pokot,7,Apartment,13kg,Evening,Kerosene,82,Regular Users
Esther Karanja,esther.karanja15@gmail.com,254767614919,Female,Elgeyo Marakwet,6,Apartment,13kg,Morning,Charcoal,92,Low Users
Faith Mwangi,faith.mwangi64@gmail.com,254785707286,Male,Kisii,5,House,13kg,Evening,Firewood,108,Low Users
Mercy Achieng,mercy.achieng32@gmail.com,254701211160,Male,Tharaka Nithi,1,Bedsitter,6kg,Evening,Charcoal,32,Heavy Users
Michael Maina,michael.maina91@gmail.com,254736009511,Female,Kilifi,3,House,Other,Afternoon,None,92,Low Users
David Onyango,david.onyango32@gmail.com,254712064071,Male,West Pokot,10,Business,6kg,Afternoon,Charcoal,96,Low Users
James Otieno,james.otieno92@gmail.com,254712709003,Male,Baringo,9,House,13kg,Afternoon,Charcoal,87,Regular Users
Mark Omondi,mark.omondi38@gmail.com,254758380992,Male,Mombasa,10,House,13kg,Morning,Charcoal,117,Low Users
Mercy Muriuki,mercy.muriuki66@gmail.com,254752318822,Female,Marsabit,5,House,13kg,Afternoon,Charcoal,144,At-Risk
Mark Mwangi,mark.mwangi76@gmail.com,254774282241,Female,Mombasa,9,House,13kg,Morning,Electricity,121,At-Risk
Faith Ngugi,faith.ngugi29@gmail.com,254772331649,Female,Kakamega,3,House,6kg,Morning,None,121,At-Risk
Grace Achieng,grace.achieng79@gmail.com,254786246362,Female,Kirinyaga,6,House,13kg,Morning,Electricity,38,Heavy Users
Faith Mutua,faith.mutua64@gmail.com,254762335483,Male,Isiolo,2,Bedsitter,50kg,Afternoon,None,101,Low Users
Jane Kamau,jane.kamau8@gmail.com,254798575416,Female,Makueni,4,Apartment,13kg,Afternoon,Electricity,42,Heavy Users
Robert Karanja,robert.karanja20gmail.com,254736123420,Female,Nairobi,9,Business,6kg,Evening,Electricity,102,Low Users
Mercy Ngugi,mercy.ngugi64@gmail.com,254776101057,Female,Homa Bay,4,Apartment,13kg,Morning,Charcoal,128,At-Risk
Peter Achieng,peter.achieng51@gmail.com,254778050846,Male,Kirinyaga,8,Bedsitter,13kg,Morning,Charcoal,94,Low Users
Mary Kuria,mary.kuria73@gmail.com,254743593097,Male,Nairobi,5,House,50kg,Evening,Charcoal,148,At-Risk
Joseph Mwangi,joseph.mwangi40@gmail.com,254782318431,Female,Nairobi,10,Bedsitter,13kg,Morning,Charcoal,107,Low Users
Grace Mutua,grace.mutua32@gmail.com,254798419770,Male,Muranga,2,Business,13kg,Morning,None,73,Regular Users
Mark Mugo,mark.mugo81@gmail.com,254715502651,Female,Kirinyaga,2,Apartment,6kg,Afternoon,Charcoal,108,Low Users
Robert Onyango,robert.onyango54@gmail.com,254773959954,Male,Taita Taveta,7,Business,13kg,Afternoon,None,84,Regular Users
Mark Kibet,mark.kibet14@gmail.com,254751212575,Male,Migori,3,Bedsitter,13kg,Evening,Firewood,95,Low Users
Robert Otieno,robert.otieno32@gmail.com,254751243698,Male,Taita Taveta,5,Apartment,Other,Morning,Firewood,79,Regular Users
Daniel Onyango,daniel.onyango1@gmail.com,254740871593,Male,Kiambu,8,Apartment,13kg,Evening,Firewood,112,Low Users
Jane Kiptoo,jane.kiptoo73@gmail.com,254760312196,Male,Vihiga,8,Apartment,13kg,Afternoon,Charcoal,68,Regular Users
Esther Kibet,esther.kibet64@gmail.com,254780368050,Female,Wajir,10,Business,13kg,Morning,Kerosene,54,Regular Users
Mark Kamau,mark.kamau16@gmail.com,254798997426,Male,Isiolo,4,Bedsitter,13kg,Morning,Charcoal,121,At-Risk
Paul Karanja,paul.karanja28@gmail.com,254760709878,Female,Mombasa,2,House,13kg,Morning,Electricity,30,Heavy Users
Grace Cheruiyot,grace.cheruiyot63@gmail.com,254736680785,Female,Baringo,7,Apartment,Other,Evening,None,118,Low Users
John Achieng,john.achieng53@gmail.com,254721444387,Female,Kericho,3,House,13kg,Evening,Electricity,129,At-Risk
Joseph Kimani,joseph.kimani3@gmail.com,254774788104,Male,Tharaka Nithi,7,Bedsitter,13kg,Afternoon,Charcoal,93,Low Users
Faith Cheruiyot,faith.cheruiyot2@gmail.com,254712104560,Female,Elgeyo Marakwet,7,Bedsitter,Other,Evening,Charcoal,28,Heavy Users
Susan Omondi,susan.omondi49@gmail.com,254728888419,Female,Wajir,7,Business,13kg,Morning,Charcoal,22,Heavy Users
Mercy Mutua,mercy.mutua38@gmail.com,254732901241,Male,West Pokot,7,Bedsitter,13kg,Morning,Electricity,104,Low Users
Ruth Mwangi,ruth.mwangi85@gmail.com,254754991472,Female,Tharaka Nithi,10,Apartment,6kg,Morning,None,45,Heavy Users
Michael Omondi,michael.omondi86@gmail.com,254757527496,Male,Tharaka Nithi,10,Apartment,13kg,Morning,Firewood,91,Low Users
Joseph Kiptoo,joseph.kiptoo13@gmial.com,254770362974,Male,Tharaka Nithi,10,Business,13kg,Afternoon,Kerosene,67,Regular Users
Joseph Karanja,joseph.karanja62@gmail.com,254751149506,Female,Nandi,9,House,13kg,Morning,None,136,At-Risk
Robert Cheruiyot,"robert.cheruiyot29@gmail.com,",254798542031,Male,Kisumu,4,Apartment,13kg,Morning,Firewood,31,Heavy Users
Mark Mugo,mark.mugo27@gmail.com,254773189539,Female,Kericho,3,Apartment,6kg,Morning,Charcoal,67,Regular Users
Faith Onyango,faith.onyango34@gmail.com,254758451560,Male,Kitui,5,Bedsitter,Other,Evening,Charcoal,56,Regular Users
Susan Otieno,susan.otieno24@gmail.com,254727949746,Female,Tana River,3,Business,13kg,Afternoon,Electricity,63,Regular Users
Susan Onyango,susan.onyango83@gmail.com,254725622518,Female,Siaya,8,Bedsitter,50kg,Afternoon,Electricity,34,Heavy Users
Esther Kibet,esther.kibet78@gmail.com,254738599266,Female,Lamu,6,House,6kg,Evening,Charcoal,62,Regular Users
Paul Omondi,paul.omondi65@gmail.com,254708556701,Male,Meru,10,Bedsitter,13kg,Evening,Firewood,106,Low Users
Mary Otieno,mary.otieno81@gmail.com,254791224858,Male,Mombasa,1,House,13kg,Afternoon,None,89,Regular Users
Michael Achieng,michael.achieng27@gmail.com,254761459446,Male,Nairobi,2,Apartment,13kg,Evening,Kerosene,65,Regular Users
Joseph Onyango,joseph.onyango76@gmail.com,254711474545,Female,Makueni,2,House,13kg,Morning,Firewood,127,At-Risk
Paul Kimani,paul.kimani8@gmail.com,254712392945,Male,Siaya,8,Apartment,13kg,Evening,Charcoal,142,At-Risk
Mercy Otieno,mercy.otieno86@gmail.com,254718378723,Male,Nairobi,9,House,6kg,Morning,Electricity,40,Heavy Users
James Mugo,james.mugo48@gmail.com,254714895886,Male,Taita Taveta,1,Business,50kg,Afternoon,Kerosene,126,At-Risk
Lilian Njoroge,lilian.njoroge11@gmail.com,254754380359,Male,Nakuru,1,Bedsitter,6kg,Evening,None,99,Low Users
Mary Kamau,mary.kamau71@gmial.com,254739591926,Male,Kiambu,10,Apartment,13kg,Morning,Firewood,66,Regular Users
John Mwangi,john.mwangi61@gmial.com,254785559636,Male,Nakuru,9,House,Other,Morning,Charcoal,136,At-Risk
James Kibet,james.kibet39@gmail.com,254721598841,Female,Isiolo,5,Bedsitter,50kg,Afternoon,Firewood,143,At-Risk
Daniel Mugo,daniel.mugo82@gmail.com,254721647741,Female,Muranga,7,Apartment,50kg,Morning,Charcoal,44,Heavy Users
Mary Omondi,mary.omondi62@gmail.com,254796944352,Male,Nyeri,4,Business,13kg,Afternoon,None,55,Regular Users
Mark Maina,mark.maina47@gmail.com,254704696392,Female,Turkana,10,Apartment,13kg,Evening,Firewood,70,Regular Users
David Cheruiyot,david.cheruiyot29@gmail.com,254702904629,Female,Wajir,9,Apartment,50kg,Morning,Charcoal,34,Heavy Users
Paul Ngugi,paul.ngugi85@gmail.com,254787900266,Male,Bomet,1,Business,13kg,Evening,Charcoal,87,Regular Users
Mary Kimani,mary.kimani13@gmail.com,254717663354,Male,Kitui,5,Business,6kg,Afternoon,None,40,Heavy Users
Grace Omondi,grace.omondi75@gmail.com,254742078513,Male,Kisumu,8,House,13kg,Morning,None,38,Heavy Users
Daniel Achieng,daniel.achieng5@gmail.com,254758253151,Female,Kakamega,9,Apartment,13kg,Afternoon,None,53,Regular Users
John Kamau,john.kamau60@gmail.com,254701504655,Male,Vihiga,9,Business,13kg,Evening,None,97,Low Users
Esther Achieng,esther.achieng62gmail.com,254786932669,Female,Machakos,5,Bedsitter,13kg,Morning,Kerosene,144,At-Risk
Faith Kiptoo,faith.kiptoo21@gmail.com,254797448186,Female,Samburu,4,Bedsitter,6kg,Evening,Firewood,136,At-Risk
Mark Kibet,mark.kibet4@gmail.com,254738332111,Male,Trans Nzoia,10,Business,13kg,Morning,Firewood,71,Regular Users
James Kimani,james.kimani89@gmail.com,254753665719,Male,Machakos,8,Business,13kg,Morning,Charcoal,46,Regular Users
Peter Kibet,peter.kibet25@gmail.com,254763892723,Female,Wajir,4,House,13kg,Evening,Kerosene,54,Regular Users
Joseph Kuria,joseph.kuria21@gmail.com,254771733948,Male,Siaya,9,Business,13kg,Evening,Charcoal,125,At-Risk
Susan Cheruiyot,susan.cheruiyot72@gmail.com,254708732881,Female,Kiambu,8,Bedsitter,13kg,Evening,Charcoal,21,Heavy Users
Mary Muriuki,mary.muriuki59@gmail.com,254734276562,Male,Makueni,6,Apartment,6kg,Morning,Electricity,96,Low Users
Mary Njoroge,"mary.njoroge14@gmail.com,",254739903310,Male,Nyandarua,10,House,Other,Evening,Charcoal,109,Low Users
Mercy Maina,mercy.maina83@gmail.com,254740827377,Female,Nakuru,10,Apartment,50kg,Morning,Charcoal,108,Low Users
Joseph Mutua,joseph.mutua7@gmail.com,254730339408,Male,Siaya,3,Bedsitter,13kg,Morning,Electricity,113,Low Users
Joseph Mutua,joseph.mutua53@gmail.com,254705257570,Female,Muranga,2,House,13kg,Morning,Firewood,26,Heavy Users
Esther Cheruiyot,esther.cheruiyot83@gmail.com,254769492228,Male,Kwale,8,House,13kg,Morning,Firewood,114,Low Users
Esther Kamau,esther.kamau40@gmail.com,254729591180,Female,Trans Nzoia,2,Apartment,6kg,Afternoon,Charcoal,127,At-Risk
Peter Mugo,peter.mugo27@gmail.com,254760560991,Female,Turkana,9,Apartment,50kg,Afternoon,Electricity,93,Low Users
Susan Omondi,"susan.omondi51@gmail.com,",254712321999,Male,Tharaka Nithi,8,House,6kg,Evening,Firewood,58,Regular Users
Joseph Mutua,joseph.mutua72@gmail.com,254719670747,Female,Laikipia,3,House,13kg,Evening,Charcoal,90,Regular Users
David Otieno,david.otieno14@gmail.com,254707792262,Female,Samburu,8,Business,Other,Afternoon,Charcoal,75,Regular Users
James Kuria,james.kuria55@gmail.com,254712121758,Female,Samburu,3,Business,13kg,Morning,None,61,Regular Users
Agnes Kimani,agnes.kimani5@gmail.com,254727196638,Male,Nyandarua,9,Business,13kg,Evening,Charcoal,55,Regular Users
Ruth Kiptoo,ruth.kiptoo84@@gmail.com,254720022049,Male,Embu,5,House,13kg,Afternoon,Charcoal,103,Low Users
Daniel Muriuki,daniel.muriuki57@gmail.com,254703782629,Female,Kiambu,9,House,13kg,Evening,Charcoal,137,At-Risk
Faith Njoroge,faith.njoroge73@gmail.com,254787592751,Male,Baringo,5,Business,Other,Afternoon,None,26,Heavy Users
Grace Mugo,grace.mugo38@gmail.com,254770188399,Male,Nairobi,3,Apartment,Other,Evening,Charcoal,73,Regular Users
John Mugo,john.mugo7@gmail.com,254742487897,Male,Siaya,3,House,13kg,Morning,Firewood,148,At-Risk
Mark Maina,mark.maina3@gmail.com,254782223156,Male,Laikipia,9,Business,13kg,Afternoon,Charcoal,139,At-Risk
Ruth Muriuki,ruth.muriuki14@gmail.com,254766940401,Female,Mandera,4,Apartment,13kg,Afternoon,None,125,At-Risk
Faith Achieng,faith.achieng31@gmail.com,254704288677,Male,Nakuru,5,Bedsitter,50kg,Afternoon,Firewood,66,Regular Users
Mary Mugo,mary.mugo94@gmail.com,254762093243,Male,Garissa,7,Business,13kg,Evening,Charcoal,142,At-Risk
Ruth Njoroge,ruth.njoroge22@gmail.com,254757623100,Female,Marsabit,8,House,6kg,Morning,Electricity,138,At-Risk
James Kibet,james.kibet67@gmail.com,254774498593,Male,Nakuru,3,Business,13kg,Morning,Charcoal,137,At-Risk
Lilian Kimani,lilian.kimani10@gmail.com,254731180846,Male,Makueni,9,House,Other,Afternoon,Charcoal,40,Heavy Users
Susan Kamau,susan.kamau90@gmail.com,254718638652,Female,Uasin Gishu,4,Apartment,6kg,Evening,Charcoal,45,Heavy Users
Mary Cheruiyot,mary.cheruiyot96@gmail.com,254787065734,Female,Mombasa,3,House,13kg,Afternoon,Charcoal,28,Heavy Users
Robert Achieng,robert.achieng70@gmail.com,254748428616,Male,Embu,6,Bedsitter,13kg,Afternoon,Charcoal,34,Heavy Users
Grace Mugo,grace.mugo1@gmail.com,254777659803,Female,Nairobi,8,Apartment,13kg,Afternoon,Electricity,29,Heavy Users
Grace Njoroge,grace.njoroge4@gmail.com,254728057522,Male,Migori,8,House,13kg,Morning,Firewood,141,At-Risk
Jane Cheruiyot,jane.cheruiyot61@gmail.com,254773865432,Female,Mombasa,7,House,13kg,Evening,Electricity,140,At-Risk
Ruth Mwangi,ruth.mwangi49@gmail.com,254711653686,Female,Meru,10,House,13kg,Evening,Charcoal,144,At-Risk
Paul Ngugi,paul.ngugi8@gmail.com,254757316577,Male,Makueni,9,Bedsitter,13kg,Morning,None,91,Low Users
Jane Kamau,jane.kamau86@gmail.com,254788542601,Female,Lamu,9,Bedsitter,6kg,Morning,Charcoal,68,Regular Users
Paul Muriuki,paul.muriuki20@gmail.com,254742150487,Female,Kiambu,8,Bedsitter,13kg,Evening,Electricity,110,Low Users
Lilian Kimani,"lilian.kimani51@gmail.com,",254792581732,Female,Nakuru,5,House,Other,Afternoon,Charcoal,56,Regular Users
Ruth Karanja,ruth.karanja65@gmail.com,254784938694,Male,Busia,5,House,6kg,Morning,Charcoal,87,Regular Users
Mary Njoroge,mary.njoroge48@gmail.com,254714884453,Male,Muranga,3,Apartment,13kg,Morning,Charcoal,69,Regular Users
Susan Kibet,susan.kibet6@gmail.com,254795192314,Female,Nairobi,9,Bedsitter,50kg,Afternoon,Electricity,38,Heavy Users
John Otieno,john.otieno64@gmail.com,254797184561,Female,Kirinyaga,4,Business,13kg,Evening,Charcoal,119,Low Users
Jane Kamau,jane.kamau17@gmail.com,254759837511,Male,Samburu,9,Bedsitter,13kg,Morning,Charcoal,79,Regular Users
Joseph Kibet,joseph.kibet58@gmail.com,254704981014,Male,Trans Nzoia,1,House,13kg,Afternoon,None,108,Low Users
Jane Kibet,jane.kibet85@gmial.com,254742912685,Male,Garissa,5,Apartment,13kg,Morning,Charcoal,88,Regular Users
Robert Achieng,robert.achieng33@gmail.com,254758998682,Female,Kirinyaga,4,Apartment,13kg,Evening,Charcoal,68,Regular Users
Agnes Karanja,agnes.karanja34@gmail.com,254765948487,Female,West Pokot,6,Apartment,13kg,Afternoon,Firewood,127,At-Risk
Jane Njoroge,jane.njoroge85@gmail.com,254729631933,Male,Kisii,4,Bedsitter,6kg,Morning,Electricity,138,At-Risk
Paul Njoroge,"paul.njoroge19@gmail.com,",254723819179,Male,Kwale,4,Bedsitter,13kg,Afternoon,Firewood,56,Regular Users
David Cheruiyot,david.cheruiyot11@gmail.com,254787347176,Male,Tharaka Nithi,5,Bedsitter,13kg,Morning,Charcoal,30,Heavy Users
Daniel Onyango,daniel.onyango38@gmail.com,254706447409,Male,Baringo,10,Apartment,13kg,Evening,Kerosene,97,Low Users
Peter Mutua,peter.mutua60@gmail.com,254753372790,Female,Isiolo,7,House,13kg,Morning,None,96,Low Users
Paul Mugo,paul.mugo16@gmail.com,254775890492,Female,Nairobi,8,Business,6kg,Evening,Firewood,21,Heavy Users
James Omondi,james.omondi37@gmail.com,254729260120,Male,Marsabit,7,Business,13kg,Afternoon,Charcoal,83,Regular Users
James Otieno,james.otieno30@gmail.com,254744812461,Female,Mandera,2,House,6kg,Morning,Electricity,54,Regular Users
Paul Njoroge,paul.njoroge44@gmail.com,254798585183,Male,Nairobi,5,House,13kg,Afternoon,Charcoal,26,Heavy Users
Michael Otieno,michael.otieno49@gmail.com,254775868233,Male,Tharaka Nithi,10,Apartment,13kg,Afternoon,Kerosene,104,Low Users
Paul Kiptoo,paul.kiptoo36@gmail.com,254786851086,Female,Nakuru,6,Apartment,13kg,Afternoon,Firewood,86,Regular Users
John Ngugi,john.ngugi74@gmail.com,254745937752,Male,Nairobi,9,House,13kg,Evening,Charcoal,61,Regular Users
Mark Kamau,mark.kamau57@gmail.com,254715610388,Female,Nyandarua,1,House,13kg,Evening,Charcoal,137,At-Risk
Daniel Mugo,daniel.mugo88@gmail.com,254770728112,Male,Homa Bay,1,Business,6kg,Afternoon,Firewood,144,At-Risk
Ruth Kibet,ruth.kibet7@gmail.com,254785421691,Female,Kilifi,1,House,13kg,Morning,Firewood,43,Heavy Users
Lilian Kamau,lilian.kamau59@gmail.com,254788193516,Male,Nakuru,5,Bedsitter,13kg,Morning,Charcoal,65,Regular Users
Mark Kibet,mark.kibet65@gmail.com,254713450618,Female,Mandera,1,Apartment,13kg,Afternoon,Charcoal,38,Heavy Users
Faith Karanja,faith.karanja89@gmail.com,254724597291,Male,Elgeyo Marakwet,9,Bedsitter,13kg,Afternoon,Charcoal,87,Regular Users
Grace Muriuki,grace.muriuki36@gmail.com,254795004698,Male,Trans Nzoia,9,Business,6kg,Afternoon,Electricity,121,At-Risk
Jane Otieno,jane.otieno22@gmail.com,254743184331,Male,Kisumu,8,Bedsitter,13kg,Morning,Charcoal,61,Regular Users
Faith Muriuki,faith.muriuki69@gmail.com,254733446782,Male,Narok,2,Apartment,13kg,Evening,Electricity,51,Regular Users
